Metric,Value
avg_template_accuracy,1.0
std_template_accuracy,0.0
min_template_accuracy,1.0
max_template_accuracy,1.0
avg_execution_success_rate,0.7875
avg_sparql_success_rate,0.95
avg_latency,28.55
min_latency,1.221
max_latency,60.942
std_latency,2.246
overall_score,0.8938

Category,Total,TemplateAccuracy,ExecSuccessRate,AvgTime
aggregation,20,1.0,0.9,32.568
extreme-values,5,1.0,0.8,39.742
filtering,10,1.0,0.5,36.027
location-based,15,1.0,0.9333,14.663
multi-year-comparison,5,1.0,0.4,51.477
nested-aggregation,5,1.0,1.0,52.491
overview,15,1.0,0.8,15.465
subsampling,5,1.0,0.6,20.386

ErrorCategory,Count
